movieId,averageRating,numVotes,title,genres
62,7.3,34503,Mr. Holland's Opus (1995),Drama
63,6.6,46377,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,5.3,5274,Two if by Sea (1996),Comedy|Romance
65,4.5,25328,Bio-Dome (1996),Comedy
66,2.5,8807,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
67,6.2,3165,Two Bits (1995),Drama
68,6.4,4463,French Twist (Gazon maudit) (1995),Comedy|Romance
69,7.3,95261,Friday (1995),Comedy
70,7.2,276567,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,4.3,11773,Fair Game (1995),Action
72,6.8,10512,Kicking and Screaming (1995),Comedy|Drama
73,7.4,3515,"Misérables, Les (1995)",Drama|War
74,6.1,7711,Bed of Roses (1996),Drama|Romance
75,4.7,4375,Big Bully (1996),Comedy|Drama
76,6.4,24203,Screamers (1995),Action|Sci-Fi|Thriller
77,7.2,644,Nico Icon (1995),Documentary
78,6.3,12406,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,5.7,16513,"Juror, The (1996)",Drama|Thriller
80,7.7,6332,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,6.8,25436,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,7.4,7941,Antonia's Line (Antonia) (1995),Comedy|Drama
83,7.0,462,Once Upon a Time... When We Were Colored (1995),Drama|Romance
84,5.6,348,Last Summer in the Hamptons (1995),Comedy|Drama
85,6.8,4330,Angels and Insects (1995),Drama|Romance
86,6.6,20527,White Squall (1996),Action|Adventure|Drama
87,5.4,11544,Dunston Checks In (1996),Children|Comedy
88,6.3,35448,Black Sheep (1996),Comedy
89,6.3,37862,Nick of Time (1995),Action|Thriller
90,6.5,880,The Journey of August King (1995),Drama
92,5.8,13677,Mary Reilly (1996),Drama|Horror|Thriller
93,4.6,20805,Vampire in Brooklyn (1995),Comedy|Horror|Romance
94,7.1,30551,Beautiful Girls (1996),Comedy|Drama|Romance
95,6.0,88235,Broken Arrow (1996),Action|Adventure|Thriller
96,7.2,2292,In the Bleak Midwinter (1995),Comedy|Drama
97,8.1,139928,"Hate (Haine, La) (1995)",Crime|Drama
98,5.4,2464,Shopping (1994),Action|Thriller
99,6.5,646,Heidi Fleiss: Hollywood Madam (1995),Documentary
100,6.2,19078,City Hall (1996),Drama|Thriller
101,7.0,67277,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
102,3.9,4732,Mr. Wrong (1996),Comedy
103,6.0,4782,Unforgettable (1996),Mystery|Sci-Fi|Thriller
104,7.0,189240,Happy Gilmore (1996),Comedy
105,7.6,69378,"Bridges of Madison County, The (1995)",Drama|Romance
106,7.1,1105,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
107,7.0,20493,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
108,7.0,232,Catwalk (1996),Documentary
109,5.1,198,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
110,8.3,929505,Braveheart (1995),Action|Drama|War
111,8.3,687240,Taxi Driver (1976),Crime|Drama|Thriller
112,6.8,37479,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
113,6.1,7944,Before and After (1996),Drama|Mystery
114,7.1,1266,Margaret's Museum (1995),Drama
115,7.0,2589,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
116,8.0,983,Anne Frank Remembered (1995),Documentary
117,7.1,3377,"Young Poisoner's Handbook, The (1995)",Crime|Drama
118,4.9,3722,If Lucy Fell (1996),Comedy|Romance
119,4.7,881,"Steal Big, Steal Little (1995)",Comedy
120,5.4,2987,Race the Sun (1996),Adventure|Comedy|Drama
121,7.6,1541,"Boys of St. Vincent, The (1992)",Drama
122,5.5,24851,Boomerang (1992),Comedy|Romance
123,8.1,57843,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
124,7.4,4662,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
125,6.7,17147,Flirting With Disaster (1996),Comedy
126,3.2,10364,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
127,7.3,844,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
128,7.2,228,Jupiter's Wife (1994),Documentary
129,5.7,790,Pie in the Sky (1996),Comedy|Romance
130,6.4,789,Angela (1995),Drama
131,6.5,816,Frankie Starlight (1995),Drama|Romance
132,5.3,10995,Jade (1995),Thriller
133,7.2,442,Nueba Yol (1995),Comedy|Drama
134,7.2,150,Sonic Outlaws (1995),Documentary
135,6.2,20361,Down Periscope (1996),Comedy
136,7.2,248,From the Journals of Jean Seberg (1995),Documentary
137,5.8,312,Man of the Year (1995),Documentary
138,6.2,746,"Neon Bible, The (1995)",Drama
139,7.7,72,Target (1995),Action|Drama
140,6.2,13131,Up Close and Personal (1996),Drama|Romance
141,7.1,76499,"Birdcage, The (1996)",Comedy
142,6.4,12,Shadows (Cienie) (1988),Drama
143,4.2,352,Gospa (1995),Drama
144,6.6,7152,"Brothers McMullen, The (1995)",Comedy
145,6.9,230008,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
146,5.8,3747,"Amazing Panda Adventure, The (1995)",Adventure|Children
147,7.3,98432,"Basketball Diaries, The (1995)",Drama
148,6.0,2497,"Awfully Big Adventure, An (1995)",Drama
149,6.9,5355,Amateur (1994),Crime|Drama|Thriller
150,7.6,257531,Apollo 13 (1995),Adventure|Drama|IMAX
151,6.9,39521,Rob Roy (1995),Action|Drama|Romance|War
152,6.5,8463,"Addiction, The (1995)",Drama|Horror
153,5.4,228550,Batman Forever (1995),Action|Adventure|Comedy|Crime
154,7.7,38065,Beauty of the Day (Belle de jour) (1967),Drama
155,6.6,4643,Beyond Rangoon (1995),Adventure|Drama|War
156,6.7,8802,Blue in the Face (1995),Comedy|Drama
157,6.0,15619,Canadian Bacon (1995),Comedy|War
158,6.1,114436,Casper (1995),Adventure|Children
159,6.9,19807,Clockers (1995),Crime|Drama|Mystery
160,5.3,40864,Congo (1995),Action|Adventure|Mystery|Sci-Fi
161,7.3,97333,Crimson Tide (1995),Drama|Thriller|War
162,8.0,17761,Crumb (1994),Documentary
163,7.2,166454,Desperado (1995),Action|Romance|Western
164,6.7,16721,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
165,7.6,353031,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
166,6.1,13415,"Doom Generation, The (1995)",Comedy|Crime|Drama
167,6.1,484,Feast of July (1995),Drama
168,6.0,65630,First Knight (1995),Action|Drama|Romance
169,5.1,16530,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
170,6.3,63618,Hackers (1995),Action|Adventure|Crime|Thriller
171,6.8,5543,Jeffrey (1995),Comedy|Drama
172,5.7,64478,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
173,5.6,107253,Judge Dredd (1995),Action|Crime|Sci-Fi
174,4.3,7289,Jury Duty (1995),Comedy
175,7.1,70594,Kids (1995),Drama
176,7.5,15708,Living in Oblivion (1995),Comedy
177,6.1,14050,Lord of Illusions (1995),Horror
178,6.7,2402,Love & Human Remains (1993),Comedy|Drama
179,5.4,5970,Mad Love (1995),Drama|Romance
180,7.1,112993,Mallrats (1995),Comedy|Romance
181,5.2,24457,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
182,5.7,3400,Moonlight and Valentino (1995),Drama|Romance
183,6.7,5141,Mute Witness (1994),Comedy|Horror|Thriller
184,6.1,2853,Nadja (1994),Drama
185,5.9,58535,"Net, The (1995)",Action|Crime|Thriller
186,5.5,34303,Nine Months (1995),Comedy|Romance
187,6.6,4308,Party Girl (1995),Comedy
188,6.5,28089,"Prophecy, The (1995)",Fantasy|Horror|Mystery
189,5.3,414,Reckless (1995),Comedy|Fantasy
190,7.2,12467,Safe (1995),Thriller
191,5.3,14051,"Scarlet Letter, The (1995)",Drama|Romance
192,6.8,321,The Show (1995),Documentary
193,4.8,59612,Showgirls (1995),Drama
194,7.4,32241,Smoke (1995),Comedy|Drama
195,5.7,12287,Something to Talk About (1995),Comedy|Drama|Romance
196,5.8,71830,Species (1995),Horror|Sci-Fi
197,6.6,690,"Stars Fell on Henrietta, The (1995)",Drama
198,7.2,64921,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,7.8,21990,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
200,5.0,1072,"Tie That Binds, The (1995)",Thriller
201,6.1,2640,Three Wishes (1995),Drama|Fantasy
202,6.6,12838,Total Eclipse (1995),Drama|Romance
203,6.6,27153,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
204,5.5,42518,Under Siege 2: Dark Territory (1995),Action
205,6.7,2931,Unstrung Heroes (1995),Comedy|Drama
206,6.5,1029,Unzipped (1995),Documentary
207,6.7,30485,"Walk in the Clouds, A (1995)",Drama|Romance
208,6.2,173871,Waterworld (1995),Action|Adventure|Sci-Fi
209,5.3,4512,White Man's Burden (1995),Drama
210,5.9,6247,Wild Bill (1995),Western
211,7.2,2913,"Browning Version, The (1994)",Drama
212,5.6,5461,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
213,7.9,13763,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
214,8.0,13389,Before the Rain (Pred dozhdot) (1994),Drama|War
215,8.1,254800,Before Sunrise (1995),Drama|Romance
216,6.4,126459,Billy Madison (1995),Comedy
217,4.3,4494,"Babysitter, The (1995)",Drama|Thriller
218,6.5,11468,Boys on the Side (1995),Comedy|Drama
219,7.7,8928,"Cure, The (1995)",Drama
220,5.9,6438,Castle Freak (1995),Horror
222,6.6,7838,Circle of Friends (1995),Drama|Romance
223,7.7,207381,Clerks (1994),Comedy
224,6.7,46886,Don Juan DeMarco (1995),Comedy|Drama|Romance
225,6.1,44708,Disclosure (1994),Drama|Thriller
226,4.7,247,Dream Man (1995),Thriller
227,5.6,18688,Drop Zone (1994),Action|Thriller
228,4.5,2202,Destiny Turns on the Radio (1995),Comedy
229,7.3,21604,Death and the Maiden (1994),Drama|Thriller
230,7.4,37185,Dolores Claiborne (1995),Drama|Thriller
231,7.3,342608,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
232,7.8,17604,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
233,7.0,17261,Exotica (1994),Drama
234,4.3,6352,Exit to Eden (1994),Comedy
235,7.8,161448,Ed Wood (1994),Comedy|Drama
236,6.6,45534,French Kiss (1995),Action|Comedy|Romance
237,6.5,10998,Forget Paris (1995),Comedy|Romance
238,6.4,2494,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
239,6.8,43641,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
240,5.3,6134,Hideaway (1995),Thriller
241,6.7,6303,Fluke (1995),Children|Drama
242,6.8,6116,Farinelli: il castrato (1994),Drama|Musical
243,3.8,1822,Gordy (1995),Children|Comedy|Fantasy
244,6.3,735,Gumby: The Movie (1995),Animation|Children
245,6.2,3195,The Glass Shield (1994),Crime|Drama
246,8.3,23259,Hoop Dreams (1994),Documentary
247,7.3,57482,Heavenly Creatures (1994),Crime|Drama
248,6.0,6310,Houseguest (1994),Comedy
249,7.5,22428,Immortal Beloved (1994),Drama|Romance
250,6.6,24226,Heavyweights (Heavy Weights) (1995),Children|Comedy
251,6.0,4607,"Hunted, The (1995)",Action
252,6.2,22987,I.Q. (1994),Comedy|Romance
253,7.6,285286,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
254,5.7,2731,Jefferson in Paris (1995),Drama
255,4.8,2407,"Jerky Boys, The (1995)",Comedy
256,4.6,63165,Junior (1994),Comedy|Sci-Fi
257,6.4,23547,Just Cause (1995),Mystery|Thriller
258,4.7,5542,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
259,5.9,16432,Kiss of Death (1995),Crime|Drama|Thriller
260,8.6,1185944,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
261,7.3,48862,Little Women (1994),Drama
262,7.7,30921,"Little Princess, A (1995)",Children|Drama
263,7.4,3057,Ladybird Ladybird (1994),Drama
264,7.1,3975,"Enfer, L' (1994)",Drama
265,7.1,16361,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
266,7.6,141370,Legends of the Fall (1994),Drama|Romance|War|Western
267,6.2,29372,Major Payne (1995),Comedy
268,6.7,7096,Little Odessa (1994),Crime|Drama
269,6.5,1871,My Crazy Life (Mi vida loca) (1993),Drama
270,6.0,4285,Love Affair (1994),Drama|Romance
271,6.4,5311,Losing Isaiah (1995),Drama
272,7.2,14795,"Madness of King George, The (1994)",Comedy|Drama
273,6.4,49621,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
274,5.2,8381,Man of the House (1995),Comedy
275,5.5,10015,Mixed Nuts (1994),Comedy
276,5.6,11053,Milk Money (1994),Comedy|Romance
277,6.5,30339,Miracle on 34th Street (1994),Drama
278,5.4,3027,Miami Rhapsody (1995),Comedy
279,7.3,3575,My Family (1995),Drama
280,7.3,25674,Murder in the First (1995),Drama|Thriller
281,7.4,17765,Nobody's Fool (1994),Comedy|Drama|Romance
282,6.5,26476,Nell (1994),Drama
283,6.7,2754,New Jersey Drive (1995),Crime|Drama
284,4.2,191,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
285,3.3,453,Beyond Bedlam (1993),Drama|Horror
286,3.9,1580,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
287,5.6,549,Nina Takes a Lover (1994),Comedy|Romance
288,7.3,209101,Natural Born Killers (1994),Action|Crime|Thriller
289,6.5,19626,Only You (1994),Comedy|Romance
290,7.9,30455,Once Were Warriors (1994),Crime|Drama
292,6.6,114423,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,8.5,987859,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
294,6.0,2048,"Perez Family, The (1995)",Comedy|Romance
295,5.3,958,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
296,8.9,1748862,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
297,6.5,2175,Panther (1995),Drama
298,7.3,3481,Pushing Hands (Tui shou) (1992),Drama
299,7.0,9470,Priest (1994),Drama
300,7.5,62741,Quiz Show (1994),Drama
301,6.6,1042,Picture Bride (Bijo photo) (1994),Drama|Romance
302,7.4,15818,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
303,6.4,81793,"Quick and the Dead, The (1995)",Action|Thriller|Western
304,6.4,1686,Roommates (1995),Comedy|Drama
305,5.1,14049,Ready to Wear (Pret-A-Porter) (1994),Comedy
306,8.1,85016,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,7.9,83641,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308,7.7,59763,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
309,7.0,460,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
310,5.5,1839,Rent-a-Kid (1995),Comedy
311,5.8,282,Relative Fear (1994),Horror|Thriller
312,5.2,2569,Stuart Saves His Family (1995),Comedy
313,6.4,21854,"Swan Princess, The (1994)",Animation|Children
314,7.5,6737,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
315,5.6,60723,"Specialist, The (1994)",Action|Drama|Thriller
316,7.1,170324,Stargate (1994),Action|Adventure|Sci-Fi
317,6.5,91294,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
318,9.3,2230422,"Shawshank Redemption, The (1994)",Crime|Drama
319,7.3,54911,Shallow Grave (1994),Comedy|Drama|Thriller
320,6.6,1649,Suture (1993),Film-Noir|Thriller
321,7.4,5149,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
322,7.1,21379,Swimming with Sharks (1995),Comedy|Drama
324,7.3,4930,"Sum of Us, The (1994)",Comedy|Drama
325,5.8,5327,National Lampoon's Senior Trip (1995),Comedy
326,8.3,15129,To Live (Huozhe) (1994),Drama
327,5.3,29220,Tank Girl (1995),Action|Comedy|Sci-Fi
328,6.7,20397,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
329,6.6,73703,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
330,6.3,6430,Tales from the Hood (1995),Action|Crime|Horror
331,6.4,1487,Tom & Viv (1994),Drama
332,5.6,27684,Village of the Damned (1995),Horror|Sci-Fi
333,7.1,73725,Tommy Boy (1995),Comedy
334,7.4,4150,Vanya on 42nd Street (1994),Drama
335,6.1,3037,Underneath (1995),Mystery|Thriller
336,4.8,721,"Walking Dead, The (1995)",Drama|War
337,7.8,206445,What's Eating Gilbert Grape (1993),Drama
338,5.6,27025,Virtuosity (1995),Action|Sci-Fi|Thriller
339,6.7,88121,While You Were Sleeping (1995),Comedy|Romance
340,6.8,11753,"War, The (1994)",Adventure|Drama|War
341,7.0,1038,Double Happiness (1994),Drama
342,7.2,33824,Muriel's Wedding (1994),Comedy
343,5.8,5153,"Baby-Sitters Club, The (1995)",Children
344,6.9,267417,Ace Ventura: Pet Detective (1994),Comedy
345,7.4,44900,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
346,6.6,5621,Backbeat (1993),Drama|Musical
347,7.2,33704,Bitter Moon (1992),Drama|Film-Noir|Romance
348,7.4,34313,Bullets Over Broadway (1994),Comedy
349,6.9,85910,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,6.7,57265,"Client, The (1994)",Drama|Mystery|Thriller
351,6.6,11891,"Corrina, Corrina (1994)",Comedy|Drama|Romance
352,7.0,8653,Crooklyn (1994),Comedy|Drama
353,7.6,161296,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
354,6.4,6892,Cobb (1994),Drama
355,4.9,73301,"Flintstones, The (1994)",Children|Comedy|Fantasy
356,8.8,1720162,Forrest Gump (1994),Comedy|Drama|Romance|War
357,7.0,133334,Four Weddings and a Funeral (1994),Comedy|Romance
358,6.5,17442,Higher Learning (1995),Drama
359,6.9,1426,I Like It Like That (1994),Comedy|Drama|Romance
360,5.3,11155,I Love Trouble (1994),Action|Comedy
361,6.4,33851,It Could Happen to You (1994),Comedy|Drama|Romance
362,6.0,15861,"Jungle Book, The (1994)",Adventure|Children|Romance
363,8.3,1717,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
364,8.5,900386,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
365,6.1,15136,Little Buddha (1993),Drama
366,6.4,48899,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
367,6.9,331332,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
368,7.0,98469,Maverick (1994),Adventure|Comedy|Western
369,6.4,4143,Mrs. Parker and the Vicious Circle (1994),Drama
370,6.5,93341,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
371,6.6,12493,"Paper, The (1994)",Comedy|Drama
372,6.6,44168,Reality Bites (1994),Comedy|Drama|Romance
373,7.0,19359,Red Rock West (1992),Thriller
374,5.4,61422,Richie Rich (1994),Children|Comedy
375,6.4,1153,Safe Passage (1994),Drama
376,6.4,39908,"River Wild, The (1994)",Action|Thriller
377,7.2,317044,Speed (1994),Action|Romance|Thriller
378,5.8,4683,Speechless (1994),Comedy|Romance
379,5.9,53734,Timecop (1994),Action|Sci-Fi|Thriller
380,7.2,229285,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
381,6.6,19698,When a Man Loves a Woman (1994),Drama|Romance
382,6.2,50950,Wolf (1994),Drama|Horror|Romance|Thriller
383,6.7,43810,Wyatt Earp (1994),Western
384,5.4,2616,Bad Company (1995),Action|Crime|Drama
385,6.8,985,"Man of No Importance, A (1994)",Drama
386,5.8,4622,S.F.W. (1994),Drama
387,6.0,6300,"Low Down Dirty Shame, A (1994)",Action|Comedy
388,6.9,453,Boys Life (1995),Drama
389,6.9,1631,"Colonel Chabert, Le (1994)",Drama|Romance|War
390,6.7,13272,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
391,6.6,3456,Jason's Lyric (1994),Crime|Drama
392,7.2,1406,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
393,4.0,64027,Street Fighter (1994),Action|Adventure|Fantasy
394,6.7,3336,Coldblooded (1995),Comedy
395,5.7,117,Desert Winds (1995),Drama|Fantasy|Romance
396,5.5,1672,Fall Time (1995),Drama
397,3.5,966,"Fear, The (1995)",Horror
398,7.8,531,Frank and Ollie (1995),Documentary
399,6.1,178,Girl in the Cadillac (1995),Drama
400,5.7,153,Homage (1995),Drama
401,5.0,164,Mirage (1995),Action|Thriller
402,5.1,208,Open Season (1996),Comedy
403,7.1,292,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama
404,7.2,89,Brother Minister: The Assassination of Malcolm X (1994),Documentary
405,4.5,19284,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
406,6.3,423,Federal Hill (1994),Drama
407,7.2,58132,In the Mouth of Madness (1995),Horror|Thriller
408,6.6,4668,8 Seconds (1994),Drama
409,6.6,13275,Above the Rim (1994),Crime|Drama
410,6.7,75479,Addams Family Values (1993),Children|Comedy|Fantasy
411,6.7,872,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
412,7.2,48082,"Age of Innocence, The (1993)",Drama
413,6.1,44775,Airheads (1994),Comedy
414,5.5,8231,"Air Up There, The (1994)",Comedy
415,5.6,12706,Another Stakeout (1993),Comedy|Thriller
416,5.2,11316,Bad Girls (1994),Western
417,7.0,5451,Barcelona (1994),Comedy|Romance
418,5.5,3709,Being Human (1993),Drama
419,5.0,16859,"Beverly Hillbillies, The (1993)",Comedy
420,5.6,73579,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
421,6.6,8882,Black Beauty (1994),Adventure|Children|Drama
422,6.2,7518,Blink (1994),Thriller
423,6.2,27283,Blown Away (1994),Action|Thriller
424,6.2,11654,Blue Chips (1994),Drama
425,6.4,6567,Blue Sky (1994),Drama|Romance
426,5.9,16102,Body Snatchers (1993),Horror|Sci-Fi|Thriller
427,4.8,11081,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
428,7.8,122669,"Bronx Tale, A (1993)",Drama
429,5.4,7943,Cabin Boy (1994),Comedy
430,5.1,2079,Calendar Girl (1993),Comedy|Drama
431,7.9,193199,Carlito's Way (1993),Crime|Drama
432,5.5,17519,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
433,5.7,3562,Clean Slate (1994),Comedy
434,6.4,115852,Cliffhanger (1993),Action|Adventure|Thriller
435,5.3,48947,Coneheads (1993),Comedy|Sci-Fi
436,5.2,22111,Color of Night (1994),Drama|Thriller
437,5.2,6163,Cops and Robbersons (1994),Comedy
438,6.0,7504,"Cowboy Way, The (1994)",Action|Comedy|Drama
439,5.7,3389,Dangerous Game (1993),Drama
440,6.8,47355,Dave (1993),Comedy|Romance
441,7.6,157166,Dazed and Confused (1993),Comedy
442,6.7,152260,Demolition Man (1993),Action|Adventure|Sci-Fi
443,7.6,1773,"Endless Summer 2, The (1994)",Adventure|Documentary
444,4.4,6879,Even Cowgirls Get the Blues (1993),Comedy|Romance
445,5.8,6549,Fatal Instinct (1993),Comedy
446,8.1,23686,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
447,5.2,2484,"Favor, The (1994)",Comedy|Romance
448,7.1,20604,Fearless (1993),Drama
449,7.2,3750,Fear of a Black Hat (1994),Comedy
450,6.7,12852,With Honors (1994),Comedy|Drama
451,6.2,4732,Flesh and Bone (1993),Drama|Mystery|Romance
452,6.6,1548,Widows' Peak (1994),Drama
